Player,Salary,Pos,Age,Tm,G,MP,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,BPM,VORP
Darrell Arthur,"$7,464,912 ",PF,29,DEN,19,141,8.4,0.559,6,9.3,2.8,1.8,23.7,19.5,-0.2,0.1,0,-4.6,-0.1
Darius Miller,"$2,100,000 ",SF,27,NOP,78,1847,9.4,0.619,4.6,7.7,0.6,0.7,10.1,12.8,2.1,0.8,2.9,-1.1,0.4
Dario Saric,"$2,422,560 ",PF,23,PHI,74,2229,16.1,0.587,12.3,13,1.1,0.7,13.4,20.9,3.7,2.8,6.5,1.6,2
Danuel House,$0 ,SG,24,PHO,20,283,12.8,0.542,10.8,8.5,1,1.1,8.2,16.4,0.3,0.1,0.4,-2.9,-0.1
Dante Exum,"$4,992,385 ",PG,22,UTA,10,148,21.9,0.63,6.5,32.9,2,0.6,15,24.4,0.4,0.2,0.6,1.1,0.1
Dante Cunningham,"$2,300,000 ",SF,30,TOT,70,1499,9.7,0.542,9.9,4.1,1.2,1.4,8.1,11.5,1,1.2,2.2,-1.6,0.2
Dante Cunningham,"$2,300,000 ",SF,30,NOP,51,1115,8.5,0.525,9.4,3,1.2,1.1,6.2,10,0.7,0.9,1.5,-1.8,0.1
Dante Cunningham,"$2,300,000 ",SF,30,BRK,19,384,13.2,0.574,11.3,7.3,1.4,1.9,11.5,15.7,0.3,0.3,0.7,-0.9,0.1
Danny Green,"$10,000,000 ",SG,30,SAS,67,1742,11.5,0.51,7.7,9,1.7,3.8,11,16.5,0.1,2.8,3,1.3,1.5
Danilo Gallinari,"$20,559,599 ",SF,29,LAC,21,671,13.9,0.545,8.3,8.9,0.9,1.2,8.1,20.6,0.8,0.4,1.3,-1.3,0.1
Daniel Theis,"$815,615 ",C,25,BOS,63,936,16.2,0.616,16.1,9.1,1.6,4.3,17.2,15.5,1.6,1.9,3.5,2.7,1.1
Daniel Hamilton,$0 ,SG,22,OKC,5,26,19.6,0.545,10.7,42.6,1.9,0,15.4,21.5,0.1,0,0.1,-0.9,0
D'Angelo Russell,"$5,562,360 ",PG,21,BRK,44,1124,15.5,0.506,8.4,35.6,1.4,1.1,16.2,30.7,-0.4,0.8,0.4,-0.2,0.5
Damyean Dotson,"$1,100,000 ",SG,23,NYK,40,356,8.9,0.489,8.7,9.2,1,0.2,9.7,16.5,0,0.2,0.2,-4.9,-0.3
Damion Lee,"$92,160 ",SG,25,ATL,12,321,12.9,0.496,9.4,11.7,2.6,0.3,7.8,19.2,0.1,0.3,0.4,-1.5,0
Damien Wilkins,"$2,116,955 ",SF,38,IND,19,152,4.9,0.405,6,7.8,0.7,0.6,10.9,13.4,-0.1,0.1,-0.1,-6.4,-0.2
Damian Lillard,"$26,153,057 ",PG,27,POR,70,2558,25.1,0.594,6.8,30.9,1.5,0.9,11.1,30.4,9.5,2.6,12.1,6.8,5.7
Damian Jones,"$1,312,611 ",C,22,GSW,11,54,10.7,0.765,10.4,0,0,2.9,20.3,12,0.1,0,0.1,-6.4,-0.1
Dakari Johnson,"$815,615 ",C,22,OKC,29,159,16.6,0.575,11.8,7.3,1.9,4.6,5.9,13.7,0.4,0.2,0.6,0.5,0.1
D.J. Wilson,"$2,135,040 ",PF,21,MIL,21,69,9.1,0.638,7.7,6.2,1.4,1.2,21.2,12.4,0,0,0.1,-5.2,-0.1
D.J. Augustin,"$7,250,000 ",PG,30,ORL,71,1679,15.4,0.613,5.1,24.1,1.5,0,16.1,18.4,3.2,0.8,4,-0.8,0.5
Cristiano Felicio,"$7,843,500 ",C,25,CHI,51,856,12.3,0.619,12.6,8.6,0.6,1.1,17.5,13.4,1.1,0.5,1.6,-2.5,-0.1
Courtney Lee,"$11,747,890 ",SG,32,NYK,73,2226,12.9,0.56,5.3,11.4,1.8,0.6,9.6,16.9,2.5,1.2,3.7,0,1.1
Cory Joseph,"$7,630,000 ",PG,26,IND,78,2108,11.2,0.505,6.9,15.9,1.8,0.7,11.2,14.6,1.3,1.9,3.3,-1,0.6
Corey Brewer,"$7,579,366 ",SF,31,OKC,15,427,14.7,0.573,6.7,7,3.7,1.3,7,14.4,0.8,0.6,1.4,2.1,0.4
Corey Brewer,"$7,579,366 ",SF,31,TOT,69,1121,11.1,0.535,7,7.7,3.2,1.1,12.8,14.3,0.6,1.5,2.1,-0.8,0.3
Corey Brewer,"$7,579,366 ",SF,31,LAL,54,694,8.9,0.509,7.2,8.1,2.8,0.9,16.3,14.2,-0.2,0.9,0.7,-2.7,-0.1
Cole Aldrich,"$7,300,000 ",C,29,MIN,19,46,5.2,0.34,16.4,5.9,2.2,1.9,5.4,17.9,-0.1,0.1,0,-8,-0.1
Cody Zeller,"$12,584,270 ",C,25,CHO,33,627,16,0.602,15.3,7.4,1.1,2.8,14.6,15.7,1.2,0.7,1.9,0.5,0.4
Clint Capela,"$2,334,520 ",C,23,HOU,71,1955,24.6,0.65,22.3,5.8,1.4,5.8,11.6,19.5,6,3.9,9.9,3,2.5
Chris Paul,"$24,599,495 ",PG,32,HOU,55,1753,24.3,0.601,9.7,40.7,2.6,0.7,12.7,24.3,7,2.6,9.6,7,4
Chris McCullough,"$1,471,382 ",PF,22,WAS,19,90,15.8,0.478,15.7,7.1,0,4.8,4,24.6,0.1,0.1,0.2,-5.7,-0.1
Chris Boucher,$0 ,PF,25,GSW,1,1,-28.5,0,55.9,0,0,0,0,43.9,0,0,0,-59,0
Cheick Diallo,"$1,312,611 ",PF,21,NOP,48,538,17.4,0.619,19.6,4.8,0.9,2.8,11,17.6,1.1,0.7,1.8,-3.1,-0.2
Charles Cooke,$0 ,SG,23,NOP,11,34,-3.4,0.233,3.2,3.6,1.4,0,7.2,17.7,-0.2,0,-0.1,-13.4,-0.1
Channing Frye,"$7,420,912 ",C,34,TOT,50,643,14.2,0.626,11,7.5,1.3,1.8,7.8,14.9,1,0.5,1.6,-1,0.2
Channing Frye,"$7,420,912 ",C,34,CLE,44,545,13.9,0.604,11.3,7.5,1.5,1.9,8.8,15.7,0.7,0.5,1.2,-1.3,0.1
Channing Frye,"$7,420,912 ",C,34,LAL,6,98,15.5,0.792,9.3,7.4,0,1.7,0,10.4,0.3,0.1,0.4,0.6,0.1
Chandler Parsons,"$23,112,004 ",SF,29,MEM,36,691,13.7,0.578,7.5,16.5,1.3,1.5,12.5,18.3,0.7,0.4,1.1,-1.2,0.1
Cedi Osman,"$2,642,857 ",SF,22,CLE,57,584,10.9,0.605,10,6.8,1.6,0.4,14.2,15,0.4,0.4,0.8,-3.1,-0.2
Carmelo Anthony,"$26,243,760 ",PF,33,OKC,75,2413,12.7,0.502,10.1,6.4,0.9,1.8,7.4,23.3,1.1,2.4,3.5,-3.9,-1.2
Caris LeVert,"$1,632,480 ",SF,23,BRK,68,1781,14.2,0.523,7.6,26,2,0.9,15.6,22.6,0.7,1.4,2.1,-0.5,0.7
Cameron Payne,"$2,203,440 ",PG,23,CHI,21,476,14,0.494,6.3,28.9,2.2,1.7,13.3,19.3,0.3,0.4,0.6,-0.8,0.1
Caleb Swanigan,"$1,465,920 ",PF,20,POR,24,165,7.1,0.41,15.2,12.2,1.5,1.5,19,19.6,-0.3,0.2,0,-4.8,-0.1
C.J. Williams,$0 ,SG,27,LAC,34,626,9.6,0.531,4.2,7.1,2.2,1.7,9.7,13.5,0.3,0.5,0.8,-1,0.2
C.J. Miles,"$7,936,509 ",SF,30,TOR,66,1251,13.2,0.55,6.3,5.7,1.4,1.2,5.7,22.1,1.4,1.3,2.8,-0.5,0.5
C.J. McCollum,"$23,962,573 ",SG,26,POR,77,2780,17.4,0.544,5.9,16,1.3,1,8.5,26.4,4,2.7,6.7,0.6,1.9
Buddy Hield,"$3,675,480 ",SG,24,SAC,77,1930,16,0.558,8.7,12.3,2,1,11.2,24.3,1.2,1.3,2.6,-0.5,0.7
Bryn Forbes,"$1,312,611 ",SG,24,SAS,77,1462,9.1,0.523,4.1,8.1,0.9,0.1,6.8,16.7,0.7,1.3,2,-3.1,-0.4
Bruno Caboclo,"$2,451,225 ",SF,22,TOR,2,7,-0.1,0,8,16.7,7,0,0,12.5,0,0,0,-2.5,0
Bruno Caboclo,"$2,451,225 ",SF,22,SAC,9,92,9.2,0.424,11.8,6.1,1.1,4.1,11.5,16.9,-0.1,0.1,0,-4.4,-0.1
Bruno Caboclo,"$2,451,225 ",SF,22,TOT,11,99,8.5,0.398,11.5,6.9,1.5,3.8,10.9,16.6,-0.1,0.1,0,-4.3,-0.1
Brook Lopez,"$22,642,350 ",C,29,LAL,70,1657,16.6,0.558,8.9,11.7,0.9,4.7,10.3,23.5,1.8,1.9,3.7,0.6,1.1
Brice Johnson,"$1,331,160 ",PF,23,LAC,9,38,21.3,0.673,18.8,4,7.7,4.4,25.2,18.1,0,0.1,0.1,3.9,0.1
Brice Johnson,"$1,331,160 ",PF,23,TOT,18,98,18.2,0.486,17.9,3.4,4.5,5.5,10.2,22.3,0,0.2,0.2,-2.7,0
Brice Johnson,"$1,331,160 ",PF,23,MEM,9,60,16.2,0.418,17.4,3.1,2.5,6.3,3,25,-0.1,0.1,0,-6.9,-0.1
Briante Weber,"$83,129 ",PG,25,TOT,18,237,10.1,0.527,8.4,13.1,3.8,1.9,24,11.7,0,0.4,0.4,-0.4,0.1
Briante Weber,"$83,129 ",PG,25,HOU,13,118,11.1,0.547,8.6,15.1,4.2,2.2,22.8,11.5,0.1,0.2,0.3,1.2,0.1
Briante Weber,"$83,129 ",PG,25,MEM,5,119,9.2,0.508,8.3,11.2,3.4,1.6,25.3,12,-0.1,0.1,0.1,-2,0
Brandon Paul,"$815,615 ",SG,26,SAS,61,558,7.2,0.493,6.7,9.2,2.3,1,16.8,13.4,-0.3,0.8,0.5,-2.7,-0.1
Brandon Jennings,"$238,020 ",PG,28,MIL,11,156,14,0.51,7.9,30.3,1.6,2.2,18.2,19.2,0.1,0.1,0.2,-2.9,0
Brandon Ingram,"$5,519,400 ",SF,20,LAL,59,1975,13.9,0.536,8.5,17.6,1.1,1.8,14.4,22.2,1,1.8,2.8,-1.3,0.3
Brandan Wright,"$5,179,760 ",PF,30,MEM,27,366,19.4,0.595,14.7,5.9,1.8,6.4,6.6,14.9,0.8,0.5,1.3,1.1,0.3
Brandan Wright,"$5,179,760 ",PF,30,TOT,28,381,19,0.596,14.4,5.6,1.7,6.4,6.4,14.7,0.8,0.5,1.3,1,0.3
Brandan Wright,"$5,179,760 ",PF,30,HOU,1,15,11.2,0.667,7.5,0,0,5.7,0,8.8,0,0,0,-3.2,0
Bradley Beal,"$23,775,506 ",SG,24,WAS,78,2819,18.7,0.566,6.9,21.2,1.7,1.1,11.6,27.8,4.3,2.4,6.7,1.9,2.7
Bojan Bogdanovic,"$10,500,000 ",SF,28,IND,77,2386,13.8,0.603,6.2,7.1,1.1,0.3,10.2,18.9,3.6,1.6,5.1,-0.8,0.7
Bogdan Bogdanovic,"$9,470,614 ",SG,25,SAC,75,2089,13.8,0.564,5.9,18.3,1.7,0.7,13.1,19.6,2,0.9,2.9,-0.9,0.6
Bobby Portis,"$1,516,320 ",PF,22,CHI,69,1553,20,0.548,16.1,13.6,1.5,1.1,9.9,26,2.2,1.4,3.6,0.7,1.1
Bobby Brown,"$1,524,305 ",PG,33,HOU,20,115,5.4,0.425,3.4,14.9,1.7,0,13.3,26,-0.3,0.1,-0.2,-9.3,-0.2
Boban Marjanovic,"$7,000,000 ",C,29,TOT,35,286,25.1,0.611,21.7,12.5,1.5,3.3,16,28.8,0.8,0.5,1.2,0.1,0.2
Boban Marjanovic,"$7,000,000 ",C,29,LAC,16,115,30.3,0.635,26.7,9.7,2.1,3.6,11.9,25.2,0.5,0.2,0.7,3.2,0.2
Boban Marjanovic,"$7,000,000 ",C,29,DET,19,171,21.6,0.597,18.4,14.4,1.2,3.1,18.2,31.2,0.2,0.3,0.5,-2,0
Blake Griffin,"$29,512,900 ",PF,28,TOT,58,1970,19.6,0.544,11.9,28.1,1,0.8,12.6,28.9,3.2,1.9,5,2.8,2.4
Blake Griffin,"$29,512,900 ",PF,28,LAC,33,1139,20.5,0.553,12.6,25.6,1.3,0.7,12.8,29.3,2,1,3.1,3.1,1.5
Blake Griffin,"$29,512,900 ",PF,28,DET,25,831,18.5,0.531,11,31.6,0.7,1,12.4,28.3,1.1,0.8,2,2.4,0.9
Bismack Biyombo,"$17,000,000 ",C,25,ORL,78,1428,13.9,0.556,17.3,6.4,0.7,5,17.4,14.5,1.1,1.7,2.8,-1.5,0.2
Ben Simmons,"$6,168,840 ",PG,21,PHI,77,2614,19.8,0.555,12.8,37.4,2.4,2.1,19.3,22.2,4,4.7,8.7,4.4,4.2
Ben Moore,$0 ,PF,22,IND,2,9,-2.3,,6.3,13.1,0,0,,0,0,0,0,-5,0
Ben McLemore,"$5,200,000 ",SG,24,MEM,52,968,9.2,0.517,7.4,7.5,1.9,1.4,14,19.5,-0.4,0.7,0.3,-3.9,-0.5
Bam Adebayo,"$2,490,360 ",C,20,MIA,66,1324,15.6,0.564,15.7,11.2,1.2,2.6,13.6,15.9,2.1,1.9,4.1,0.3,0.8
Avery Bradley,"$8,808,989 ",SG,27,LAC,6,165,9,0.492,7.3,9.8,1.5,0.5,12.5,16.7,-0.1,0.1,0,-4.1,-0.1
Avery Bradley,"$8,808,989 ",SG,27,DET,40,1268,9.7,0.497,4.1,10.5,1.8,0.5,13.3,24.3,-1.3,1.2,-0.2,-4.2,-0.7
Avery Bradley,"$8,808,989 ",SG,27,TOT,46,1433,9.7,0.496,4.5,10.4,1.8,0.5,13.3,23.5,-1.4,1.3,-0.1,-4.1,-0.8
Austin Rivers,"$11,825,000 ",SG,25,LAC,58,1965,12.9,0.531,4,17.1,1.8,0.7,10.8,20.7,1.5,1.1,2.6,-0.4,0.8
Arron Afflalo,"$2,328,652 ",SG,32,ORL,51,657,5.5,0.508,5.5,6.2,0.3,1.1,11.3,12.4,-0.1,0.2,0.1,-6,-0.7
Aron Baynes,"$4,328,000 ",C,31,BOS,77,1402,11.7,0.506,15.8,9.4,0.7,2.8,14.6,16.4,0.4,2.4,2.8,-1.8,0.1
Antonius Cleveland,"$92,160 ",SG,23,TOT,14,93,5.4,0.402,7.2,2.9,3.2,4.8,17.7,11,-0.2,0.1,0,-3.7,0
Antonius Cleveland,"$92,160 ",SG,23,DAL,13,81,5.1,0.317,6.9,3.3,3.7,4.4,11.3,10,-0.1,0.1,0,-3,0
Antonius Cleveland,"$92,160 ",SG,23,ATL,1,12,7.3,0.868,9.3,0,0,7.2,41,17.8,0,0,0,-8.6,0
Antonio Blakeney,$0 ,SG,21,CHI,19,314,10.1,0.471,5.6,10.1,1.1,0.3,6.4,23.7,-0.2,0.1,0,-6.8,-0.4
Anthony Tolliver,"$3,290,000 ",PF,32,DET,75,1624,13.5,0.652,7.7,7.5,0.9,1.1,9.8,14.7,3.4,1.5,4.8,1.2,1.3
Anthony Davis,"$23,775,506 ",PF,24,NOP,71,2582,28.9,0.615,16.6,10.8,2,5.5,8.7,29.8,8.5,4.5,13,5.3,4.7
Anthony Brown,$0 ,SF,25,MIN,1,4,41.9,1.5,0,41.7,0,0,0,11.1,0,0,0,2.1,0
Ante Zizic,"$1,645,200 ",C,21,CLE,30,186,23.2,0.737,16,4.4,0.3,6,13.2,18.1,0.7,0.2,0.8,0.4,0.1
Andrew Wiggins,"$7,574,322 ",SF,22,MIN,78,2832,13.2,0.509,6.8,8,1.5,1.5,8.9,23.6,0.5,1.4,1.9,-2.6,-0.4
Andrew White,$0 ,SF,24,ATL,15,209,5.8,0.461,9.1,4.3,0.7,0.4,9.7,17.3,-0.2,0.1,-0.1,-7.2,-0.3
Andrew Harrison,"$1,312,611 ",PG,23,MEM,56,1326,12.7,0.534,5.7,21.4,1.5,1.8,14,19.7,1,0.8,1.8,-2.3,-0.1
Andrew Bogut,"$2,328,652 ",C,33,LAL,23,216,10.9,0.696,19.3,9.1,0.9,4.9,42.3,8.8,0.1,0.3,0.4,0,0.1
Andre Roberson,"$9,259,259 ",SG,26,OKC,39,1037,10.9,0.543,9.9,6,2.2,3.1,14.4,8.6,0.8,1.3,2.1,1.4,0.9
Andre Iguodala,"$14,814,815 ",SF,34,GSW,63,1601,11.3,0.539,8.5,16,1.6,1.9,16,11.5,1.6,1.7,3.3,0.4,1
Andre Drummond,"$23,775,506 ",C,24,DET,76,2541,23,0.556,26.3,14.3,2.2,4.3,16,21.2,4.4,5.6,10.1,5.5,4.8
Amir Johnson,"$11,000,000 ",C,30,PHI,70,1094,14.2,0.563,15.1,13.3,1.9,3.3,16.6,12.7,1.7,1.9,3.6,2.7,1.3
Allen Crabbe,"$19,332,500 ",SG,25,BRK,71,2085,11.1,0.54,7.7,7.9,1,1.1,8.4,18.6,1,1.3,2.2,-1.5,0.3
Alfonzo McKinnie,"$815,615 ",SF,25,TOR,13,49,9.2,0.663,6.9,2.9,1,1.6,17.3,15.5,0,0.1,0.1,-3.3,0
Al-Farouq Aminu,"$7,319,035 ",PF,27,POR,65,1950,12.4,0.529,13.8,5.8,1.9,1.5,10.7,14.9,1.2,3,4.2,1.2,1.6
Alex Poythress,"$778,668 ",PF,24,IND,24,101,8.5,0.52,9.5,2.7,1.5,0.9,7.4,11.9,0.1,0.1,0.2,-3.5,0
Alex Len,"$4,187,599 ",C,24,PHO,66,1324,19.4,0.615,20.1,8.5,1,3.7,14.2,16.6,3,1.2,4.3,0.8,0.9
Alex Caruso,$0 ,PG,23,LAL,33,476,8.1,0.517,5.5,17.7,1.9,1.7,26.2,11.9,-0.1,0.5,0.3,-3.5,-0.2
Alex Abrines,"$5,725,000 ",SG,24,OKC,73,1095,9.1,0.573,5.5,3.4,1.6,0.7,7.7,12.7,1.3,0.9,2.2,-2.3,-0.1
Alec Peters,$0 ,PF,22,PHO,17,175,5.1,0.375,7.9,7.9,0.3,0.9,3.8,12.7,-0.1,0,-0.1,-5.7,-0.2
Alec Burks,"$10,845,506 ",SG,26,UTA,62,1030,13.1,0.526,10.3,9.8,1.8,0.7,11.3,22.4,0.2,1.5,1.7,-3,-0.3
Alan Williams,"$6,000,000 ",PF,25,PHO,5,70,9.3,0.455,16.8,16.4,3.4,1.2,24.2,17.5,-0.1,0.1,0,-3.7,0
Al Jefferson,"$9,769,821 ",C,33,IND,34,462,19.9,0.557,16.4,10.1,1.7,4.4,8.7,22.2,0.7,0.8,1.5,-0.5,0.2
Al Horford,"$27,734,405 ",C,31,BOS,70,2219,17.5,0.577,12.6,23.9,0.9,2.9,14.3,18.4,3.8,3.8,7.6,4.1,3.4
Adreian Payne,$0 ,PF,26,ORL,5,43,18.8,0.831,11.5,0,2.3,0,13.7,15,0.1,0,0.2,-4,0
Abdel Nader,"$1,167,333 ",SF,24,BOS,44,463,5.7,0.464,7.3,7.2,1.4,1.6,17.1,16.9,-0.6,0.7,0,-5,-0.3
Aaron Harrison,"$83,129 ",SG,23,DAL,7,164,6.6,0.411,6.8,8.6,2.1,1.1,3.9,14.4,-0.1,0.2,0.1,-2.9,0
Aaron Gordon,"$5,504,420 ",PF,22,ORL,55,1838,16.6,0.531,13.4,11.7,1.4,1.9,9.7,24.5,1.1,1.9,3,0.1,1
Aaron Brooks,"$2,116,955 ",PG,33,MIN,31,188,10.1,0.508,5.2,15.2,1.6,0,11.9,19.7,0.1,0.1,0.2,-4.1,-0.1
