Player,Salary,Pos,Age,Tm,G,MP,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,BPM,VORP
Isaiah Whitehead,"$1,312,611 ",PG,22,BRK,16,180,11.6,0.53,7.7,19.7,2.2,0.8,20.3,28.4,-0.3,0.2,-0.1,-5.5,-0.2
Isaiah Thomas,"$6,261,395 ",PG,28,LAL,17,456,12.8,0.52,4.2,28.6,0.6,0.2,17.5,28.7,0,0.2,0.2,-4.7,-0.3
Isaiah Thomas,"$6,261,395 ",PG,28,CLE,15,406,12.3,0.493,4.3,25.2,1.1,0.4,15.5,28.9,-0.2,0.1,-0.1,-5.7,-0.4
Isaiah Thomas,"$6,261,395 ",PG,28,TOT,32,862,12.6,0.508,4.2,27,0.8,0.3,16.6,28.8,-0.1,0.3,0.2,-5.2,-0.7
Isaiah Taylor,"$1,312,611 ",PG,23,ATL,64,1086,11.2,0.499,4.5,27,1.4,0.8,15.5,19.7,0.4,0.4,0.8,-5.2,-0.9
Isaiah Hicks,$0 ,PF,23,NYK,14,169,4.9,0.449,10.8,6.5,0.6,1.5,16.3,15.8,-0.2,0.1,-0.1,-6.2,-0.2
Isaiah Canaan,"$1,069,308 ",PG,26,PHO,19,418,13.7,0.543,5.6,27,1.8,0.2,15.5,19,0.5,0.1,0.6,-2.2,0
Isaiah Canaan,"$1,069,308 ",PG,26,TOT,20,422,13.5,0.539,5.7,26.7,1.8,0.2,15.4,18.9,0.5,0.1,0.6,-2.4,0
Isaiah Canaan,"$1,069,308 ",SG,26,HOU,1,4,-7.3,0,14.1,0,0,0,0,11,0,0,0,-21.2,0
Iman Shumpert,"$10,337,079 ",SG,27,CLE,14,276,6.4,0.48,8.3,8.1,1.6,1.2,19.9,13,-0.2,0.2,0,-4,-0.1
Ike Anigbogu,"$950,000 ",C,19,IND,10,28,23.2,0.558,18.2,0,1.8,9.5,14.7,21.8,0.1,0,0.1,-5.4,0
